Признак,Коэффициент,|Коэффициент|
debt_to_income,1.1606334790484198,1.1606334790484198
num_late_payments,0.9055979435137864,0.9055979435137864
credit_score,-0.7670619505670914,0.7670619505670914
region_risk_score,0.7427344703456343,0.7427344703456343
active_loans,0.6508129497917075,0.6508129497917075
has_car_loan,0.39656131392267463,0.39656131392267463
has_mortgage,0.30538849226195275,0.30538849226195275
num_credit_cards,-0.08684226996103864,0.08684226996103864
checking_balance,0.07886288580373468,0.07886288580373468
age,0.06572128459594653,0.06572128459594653
customer_tenure_years,-0.045982214883657654,0.045982214883657654
years_employed,0.0393262568674468,0.0393262568674468
phone_calls_to_support_last_3m,0.03515819108798212,0.03515819108798212
income,-0.024812160220944915,0.024812160220944915
savings_balance,0.013443972329353411,0.013443972329353411
