Признак,LR_importance,RF_importance,LR_importance_norm,RF_importance_norm
debt_to_income,1.1606334790484198,0.22651797699305376,0.21820767201900096,0.22651797699305376
num_late_payments,0.9055979435137864,0.13243992548116454,0.17025910643328437,0.13243992548116454
credit_score,0.7670619505670914,0.11255226926090628,0.14421331587369815,0.11255226926090628
region_risk_score,0.7427344703456343,0.12068627968784801,0.13963956979361375,0.12068627968784801
active_loans,0.6508129497917075,0.05316271720818883,0.12235764456002125,0.05316271720818883
has_car_loan,0.39656131392267463,0.01856674941044945,0.07455645790504811,0.01856674941044945
has_mortgage,0.30538849226195275,0.016171939126621366,0.05741529359682839,0.016171939126621366
num_credit_cards,0.08684226996103864,0.022715732506073352,0.01632698858263187,0.022715732506073352
checking_balance,0.07886288580373468,0.04976145904021483,0.014826805387383929,0.04976145904021483
age,0.06572128459594653,0.04185823619594142,0.012356087233962549,0.04185823619594142
customer_tenure_years,0.045982214883657654,0.03127543502709748,0.008644996241420505,0.03127543502709748
years_employed,0.0393262568674468,0.0412066097157241,0.007393626941816674,0.0412066097157241
phone_calls_to_support_last_3m,0.03515819108798212,0.03435588137257771,0.006609999770123561,0.03435588137257771
income,0.024812160220944915,0.052422888138903924,0.004664869502139338,0.052422888138903924
savings_balance,0.013443972329353411,0.04630590083523493,0.002527566159026582,0.04630590083523493
